ProductKey,Product_Name,Brand,Color,Unit_Cost_USD,Unit_Price_USD,SubcategoryKey,Subcategory,CategoryKey,Category
1,"Contoso 512MB MP3 Player E51 Silver",Contoso,Silver,662,1299,101,MP4&MP3,1,Audio
2,"Contoso 512MB MP3 Player E51 Blue",Contoso,Blue,662,1299,101,MP4&MP3,1,Audio
3,"Contoso 1G MP3 Player E100 White",Contoso,White,740,1452,101,MP4&MP3,1,Audio
4,"Contoso 2G MP3 Player E200 Silver",Contoso,Silver,1100,2157,101,MP4&MP3,1,Audio
5,"Contoso 2G MP3 Player E200 Red",Contoso,Red,1100,2157,101,MP4&MP3,1,Audio
6,"Contoso 2G MP3 Player E200 Black",Contoso,Black,1100,2157,101,MP4&MP3,1,Audio
7,"Contoso 2G MP3 Player E200 Blue",Contoso,Blue,1100,2157,101,MP4&MP3,1,Audio
8,"Contoso 4G MP3 Player E400 Silver",Contoso,Silver,3058,5999,101,MP4&MP3,1,Audio
9,"Contoso 4G MP3 Player E400 Black",Contoso,Black,3058,5999,101,MP4&MP3,1,Audio
10,"Contoso 4G MP3 Player E400 Green",Contoso,Green,3058,5999,101,MP4&MP3,1,Audio
11,"Contoso 4G MP3 Player E400 Orange",Contoso,Orange,3058,5999,101,MP4&MP3,1,Audio
12,"Contoso 4GB Flash MP3 Player E401 Blue",Contoso,Blue,3572,7768,101,MP4&MP3,1,Audio
13,"Contoso 4GB Flash MP3 Player E401 Black",Contoso,Black,3572,7768,101,MP4&MP3,1,Audio
14,"Contoso 4GB Flash MP3 Player E401 Silver",Contoso,Silver,3572,7768,101,MP4&MP3,1,Audio
15,"Contoso 4GB Flash MP3 Player E401 White",Contoso,White,3572,7768,101,MP4&MP3,1,Audio
16,"Contoso 8GB Super-Slim MP3/Video Player M800 White",Contoso,White,5056,10995,101,MP4&MP3,1,Audio
17,"Contoso 8GB Super-Slim MP3/Video Player M800 Red",Contoso,Red,5056,10995,101,MP4&MP3,1,Audio
18,"Contoso 8GB Super-Slim MP3/Video Player M800 Green",Contoso,Green,5056,10995,101,MP4&MP3,1,Audio
19,"Contoso 8GB Super-Slim MP3/Video Player M800 Pink",Contoso,Pink,5056,10995,101,MP4&MP3,1,Audio
20,"Contoso 8GB MP3 Player new model M820 Black",Contoso,Black,6162,13400,101,MP4&MP3,1,Audio
21,"Contoso 8GB MP3 Player new model M820 Blue",Contoso,Blue,6162,13400,101,MP4&MP3,1,Audio
22,"Contoso 8GB MP3 Player new model M820 Yellow",Contoso,Yellow,6162,13400,101,MP4&MP3,1,Audio
23,"Contoso 8GB MP3 Player new model M820 White",Contoso,White,6162,13400,101,MP4&MP3,1,Audio
24,"Contoso 16GB Mp5 Player M1600 Blue",Contoso,Blue,9193,19990,101,MP4&MP3,1,Audio
25,"Contoso 16GB Mp5 Player M1600 Black",Contoso,Black,9193,19990,101,MP4&MP3,1,Audio
26,"Contoso 16GB Mp5 Player M1600 Green",Contoso,Green,9193,19990,101,MP4&MP3,1,Audio
27,"Contoso 16GB Mp5 Player M1600 White",Contoso,White,9193,19990,101,MP4&MP3,1,Audio
28,"Contoso 16GB Mp5 Player M1600 Red",Contoso,Red,9193,19990,101,MP4&MP3,1,Audio
29,"Contoso 32GB Video MP3 Player M3200 White",Contoso,White,8449,25500,101,MP4&MP3,1,Audio
30,"Contoso 32GB Video MP3 Player M3200 Red",Contoso,Red,8449,25500,101,MP4&MP3,1,Audio
31,"Contoso 32GB Video MP3 Player M3200 Orange",Contoso,Orange,8449,25500,101,MP4&MP3,1,Audio
32,"Contoso 32GB Video MP3 Player M3200 Pink",Contoso,Pink,8449,25500,101,MP4&MP3,1,Audio
33,"Contoso 32GB Video MP3 Player M3200 Black",Contoso,Black,8449,25500,101,MP4&MP3,1,Audio
34,"Contoso 4GB Portable MP3 Player M450 Black",Contoso,Black,4892,9595,101,MP4&MP3,1,Audio
35,"Contoso 4GB Portable MP3 Player M450 White",Contoso,White,4892,9595,101,MP4&MP3,1,Audio
36,"Contoso 4GB Portable MP3 Player M450 Yellow",Contoso,Yellow,4892,9595,101,MP4&MP3,1,Audio
37,"Contoso 8GB Clock & Radio MP3 Player X850 Silver",Contoso,Silver,9914,29923,101,MP4&MP3,1,Audio
38,"Contoso 8GB Clock & Radio MP3 Player X850 Black",Contoso,Black,9914,29923,101,MP4&MP3,1,Audio
39,"Contoso 8GB Clock & Radio MP3 Player X850 Green",Contoso,Green,9914,29923,101,MP4&MP3,1,Audio
40,"Contoso 8GB Clock & Radio MP3 Player X850 Blue",Contoso,Blue,9914,29923,101,MP4&MP3,1,Audio
41,"Contoso 16GB New Generation MP5 Player M1650 Silver",Contoso,Silver,10669,23200,101,MP4&MP3,1,Audio
42,"Contoso 16GB New Generation MP5 Player M1650 White",Contoso,White,10669,23200,101,MP4&MP3,1,Audio
43,"Contoso 16GB New Generation MP5 Player M1650 Black",Contoso,Black,10669,23200,101,MP4&MP3,1,Audio
44,"Contoso 16GB New Generation MP5 Player M1650 blue",Contoso,Blue,10669,23200,101,MP4&MP3,1,Audio
45,"Contoso 16GB New Generation MP5 Player M1650 Pink",Contoso,Pink,10669,23200,101,MP4&MP3,1,Audio
46,"WWI 1GB Pulse Smart pen E50 White","Wide World Importers",White,7645,14995,104,"Recording Pen",1,Audio
47,"WWI 1GBPulse Smart pen E50 Black","Wide World Importers",Black,7645,14995,104,"Recording Pen",1,Audio
48,"WWI 1GB Pulse Smart pen E50 Silver","Wide World Importers",Silver,7645,14995,104,"Recording Pen",1,Audio
49,"WWI 2GB Pulse Smart pen M100 White","Wide World Importers",White,9195,19995,104,"Recording Pen",1,Audio
50,"WWI 2GB Pulse Smart pen M100 Black","Wide World Importers",Black,9195,19995,104,"Recording Pen",1,Audio
51,"WWI 2GB Pulse Smart pen M100 Blue","Wide World Importers",Blue,9195,19995,104,"Recording Pen",1,Audio
52,"WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers",Silver,9195,19995,104,"Recording Pen",1,Audio
53,"WWI 4GB Video Recording Pen X200 Black","Wide World Importers",Black,9807,29600,104,"Recording Pen",1,Audio
54,"WWI 4GB Video Recording Pen X200 Red","Wide World Importers",Red,9807,29600,104,"Recording Pen",1,Audio
55,"WWI 4GB Video Recording Pen X200 Pink","Wide World Importers",Pink,9807,29600,104,"Recording Pen",1,Audio
56,"WWI 4GB Video Recording Pen X200 Yellow","Wide World Importers",Yellow,9807,29600,104,"Recording Pen",1,Audio
57,"WWI 1GB Digital Voice Recorder Pen E100 Black","Wide World Importers",Black,7953,15600,104,"Recording Pen",1,Audio
58,"WWI 1GB Digital Voice Recorder Pen E100 Red","Wide World Importers",Red,7953,15600,104,"Recording Pen",1,Audio
59,"WWI 1GB Digital Voice Recorder Pen E100 Pink","Wide World Importers",Pink,7953,15600,104,"Recording Pen",1,Audio
60,"WWI 1GB Digital Voice Recorder Pen E100 White","Wide World Importers",White,7953,15600,104,"Recording Pen",1,Audio
61,"WWI 2GB Spy Video Recorder Pen M300 Black","Wide World Importers",Black,8324,18100,104,"Recording Pen",1,Audio
62,"WWI 2GB Spy Video Recorder Pen M300 White","Wide World Importers",White,8324,18100,104,"Recording Pen",1,Audio
63,"WWI 2GB Spy Video Recorder Pen M300 Blue","Wide World Importers",Blue,8324,18100,104,"Recording Pen",1,Audio
64,"WWI 2GB Spy Video Recorder Pen M300 Silver","Wide World Importers",Silver,8324,18100,104,"Recording Pen",1,Audio
65,"WWI 2GB Spy Video Recorder Pen M300 Purple","Wide World Importers",Purple,8324,18100,104,"Recording Pen",1,Audio
66,"NT Bluetooth Stereo Headphones E52 Blue","Northwind Traders",Blue,1310,2569,106,"Bluetooth Headphones",1,Audio
67,"NT Bluetooth Stereo Headphones E52 Black","Northwind Traders",Black,1310,2569,106,"Bluetooth Headphones",1,Audio
68,"NT Bluetooth Stereo Headphones E52 Yellow","Northwind Traders",Yellow,1310,2569,106,"Bluetooth Headphones",1,Audio
69,"NT Bluetooth Stereo Headphones E52 Pink","Northwind Traders",Pink,1310,2569,106,"Bluetooth Headphones",1,Audio
70,"NT Wireless Bluetooth Stereo Headphones E102 Silver","Northwind Traders",Silver,2205,4795,106,"Bluetooth Headphones",1,Audio
71,"NT Wireless Bluetooth Stereo Headphones E102 Black","Northwind Traders",Black,2205,4795,106,"Bluetooth Headphones",1,Audio
72,"NT Wireless Bluetooth Stereo Headphones E102 Blue","Northwind Traders",Blue,2205,4795,106,"Bluetooth Headphones",1,Audio
73,"NT Wireless Bluetooth Stereo Headphones E102 White","Northwind Traders",White,2205,4795,106,"Bluetooth Headphones",1,Audio
74,"NT Bluetooth Active Headphones E202 Black","Northwind Traders",Black,1745,3795,106,"Bluetooth Headphones",1,Audio
75,"NT Bluetooth Active Headphones E202 White","Northwind Traders",White,1745,3795,106,"Bluetooth Headphones",1,Audio
76,"NT Bluetooth Active Headphones E202 Red","Northwind Traders",Red,1745,3795,106,"Bluetooth Headphones",1,Audio
77,"NT Bluetooth Active Headphones E202 Silver","Northwind Traders",Silver,1745,3795,106,"Bluetooth Headphones",1,Audio
78,"NT Wireless Bluetooth Stereo Headphones E302 Silver","Northwind Traders",Silver,1865,4055,106,"Bluetooth Headphones",1,Audio
